import_id,source_page,title,theme,category,level,duration,organisation,deroulement,variantes,schema_images
cahier-t1-001,10,Chasse ballon,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,Une balle par joueur,"[""Les joueurs jouent dans une zone délimitée"", ""L’objectif est de pousser le ballon en dehors des limites"", ""Quand le ballon sort soit avant de revenir le joueur doit aller mettre un panier de l’autre côté soit le joueur est éliminé""]","[""Changer la règle avant de revenir dans le jeu (nombre de tir, zone de tir…)""]","[""schemas/exo_001_p10_chasse-ballon.png""]"
cahier-t1-002,10,Air passe à 10,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,2 équipes sur un demi terrain,"[""Passe à 10 sans ballon"", ""Pour passer la balle, il faut appeler un partenaire"", ""Pour marquer un point il faut faire 10 passes"", ""Chaque fois qu’un joueur est touché, l’équipe adverse récupère le ballon""]","[""Mettre un vrai ballon""]","[""schemas/exo_002_p10_air-passe-a-10.png""]"
cahier-t1-003,10,Escrime,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,Par 2,"[""Les joueurs restent entre les plots"", ""L’objectif est de toucher une partie du corps de l’adversaire""]","[""Rajouter un ballon par joueur""]","[""schemas/exo_003_p10_escrime.png""]"
cahier-t1-004,10,Chat autour du rond,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,1 ballon par groupe de 2,"[""A1 démarre avec le ballon"", ""D1 doit toucher A1 en tournant autour du rond.. Il peut également passer de Nord/Sud ou Est/Ouest""]","[""Mettre un ballon par joueur""]","[""schemas/exo_004_p10_chat-autour-du-rond.png""]"
cahier-t1-005,11,Toro,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,1 ballon pour 4 joueurs,"[""Les joueurs restent derrière leur plot"", ""Ils doivent se faire des passes sans que le défenseur (« Toro ») touche le ballon"", ""Lorsque le « Toro » touche le ballon, il prend la place de l’attaquant ayant fait la passe""]","[""Rajouter des joueurs, interdire les passes aux joueurs d’à côté. Obligation de faire à minimum 2 passes""]","[""schemas/exo_005_p11_toro.png""]"
cahier-t1-006,11,Jeu des portes,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,2 équipes / 1 ballon / 4 portes,"[""L’équipe en possession de la balle doit aller aplatir le ballon entre les portes"", ""Elle ne peut se déplacer qu’en passes"", ""Règles basket (fautes, marcher…)""]","[""Ouvrir les 4 portes aux 2 équipes"", ""Pas de retour en zone"", ""On ne peut pas marquer deux fois d’affilé sur la même porte""]","[""schemas/exo_006_p11_jeu-des-portes.png""]"
cahier-t1-007,11,Déménageur,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,Un ballon par joueur,"[""Les joueurs doivent se déplacer en dribble"", ""Ils doivent changer de panier entre chaque tir"", ""Quand un joueur marque, il récupère le plot sur lequel il a tiré et le ramène dans son camp en dribblant.""]",[],"[""schemas/exo_007_p11_demenageur.png""]"
cahier-t1-008,11,loup collé,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,1 ballon / 2 loups,"[""2 joueurs commencent en étant loup"", ""Ils ne peuvent se déplacer qu’en passes"", ""Règles basket (fautes, marcher…)"", ""Ils doivent toucher les autres joueurs avec le ballon en le tenant dans leur main"", ""Les autres joueurs peuvent se percher s’ils se collent par 2. Si un troisième joueur vient se coller, le joueur à l’autre extrémité n’est plus protégé.""]","[""Donner des ballons à tout ceux qui ne sont pas loup""]","[""schemas/exo_008_p11_loup-colle.png""]"
cahier-t1-009,12,Air foot us,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,2 équipes sur tout le terrain,"[""Football sans ballon"", ""Pour passer la balle, il faut appeler un partenaire"", ""Pour marquer un point il faut rentrer dans le demi cercle en étant en possession de la balle"", ""Chaque fois qu’un joueur est touché, l’équipe adverse récupère le ballon""]","[""Mettre un vrai ballon""]","[""schemas/exo_009_p12_air-foot-us.png""]"
cahier-t1-010,12,Epervier,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,Tous les joueurs sont alignés sur la ligne de fond d’un côté (avec ou sans ballon),"[""Les joueurs jouent dans une zone délimitée"", ""L’objectif est de toucher le joueur ou de pousser le ballon en dehors des limites"", ""Quand les joueurs sont touchés ou sortent du terrain, ils deviennent loup.""]","[""Remettre des ballons à tous les joueurs""]","[""schemas/exo_010_p12_epervier.png""]"
cahier-t1-011,12,pacman,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,Tous les joueurs se placent sur une ligne pleine,"[""Les joueurs peuvent se déplacer sur toutes les lignes du terrain"", ""Ils ne peuvent pas sauter d’une ligne à l’autre"", ""Deux défenseurs sans ballon ont pour but de toucher les attaquants"", ""Lorsque l’attaquant est touché, il reste immobile à l’endroit qu’il a été touché et représente un mur""]","[""Remettre des ballons à tous les joueurs""]","[""schemas/exo_011_p12_pacman.png""]"
cahier-t1-012,12,Loup,Échauffement,Échauffement Ludique,Tous niveaux,8-12 min,1 ballon / des (2) loups,"[""Des joueurs commencent en étant loup"", ""Ils ne peuvent se déplacer qu’en passes"", ""Règles basket (fautes, marcher…)"", ""Ils doivent toucher les autres joueurs avec le ballon en le tenant dans leur main""]","[""Donner des ballons à tout ceux qui ne sont pas loup""]","[""schemas/exo_012_p12_loup.png""]"
cahier-t1-013,13,Fontaine horizontale,Échauffement,Échauffement Fontaine,Tous niveaux,8-12 min,1 ballon par joueur / répartir les joueurs en file indienne,"[""Le premier joueur n’a pas de ballon, il curl pour recevoir le ballon"", ""1 passe à 4 puis effectue le même mouvement à l’opposé""]","[""Les finitions, les déplacements, les départs…""]","[""schemas/exo_013_p13_fontaine-horizontale.png""]"
cahier-t1-014,13,Fontaine verticale,Échauffement,Échauffement Fontaine,Tous niveaux,8-12 min,1 ballon par joueur / répartir les joueurs en file indienne,"[""Le premier joueur n’a pas de ballon, il descend sous le cercle puis ressort à 45°"", ""2 passe à 1 puis effectue le même mouvement à l’opposé""]","[""Les arrêts, les départs, les finitions, Fontaine Fond, Fontaine Milieu""]","[""schemas/exo_014_p13_fontaine-verticale.png""]"
cahier-t1-015,13,Fontaine fond,Échauffement,Échauffement Fontaine,Tous niveaux,8-12 min,1 ballon par joueur / répartir les joueurs en file indienne,"[""1 se démarque, 2 passe à 1 qui attrape et attaque la ligne de fond"", ""2 équilibre derrière 1 (passe de secours) ,1 passe à 2"", ""2 tire puis coupe pour aller recevoir le ballon de 3 45° opposé""]","[""Fontaine Milieu""]","[""schemas/exo_015_p13_fontaine-fond.png""]"
cahier-t1-016,13,Fontaine milieu,Échauffement,Échauffement Fontaine,Tous niveaux,8-12 min,1 ballon par joueur / répartir les joueurs en file indienne,"[""1 se démarque, 2 passe à 1 qui attrape et attaque le milieu"", ""2 suit le mouvement du ballon et va à 45° ,1 passe à 2"", ""2 tire puis se démarque pour recevoir le ballon de 3 à 45°""]","[""Fontaine Fond""]","[""schemas/exo_016_p13_fontaine-milieu.png""]"
cahier-t1-017,14,Fontaine diagonale,Échauffement,Échauffement Fontaine,Tous niveaux,8-12 min,1 ballon par joueur / répartir les joueurs en file indienne,"[""Le premier joueur n’a pas de ballon, il part de 45° coupe pour aller poste bas opposé, 2 se décale pour ouvrir l’angle de passe"", ""2 passe à 1 puis effectue le même mouvement à l’opposé, 1 reçoit et tir""]","[""Les arrêts, les départs, les finitions, Fontaine Fond, Fontaine Milieu""]","[""schemas/exo_017_p14_fontaine-diagonale.png""]"
cahier-t1-018,14,Fontaine flare,Échauffement,Échauffement Fontaine,Tous niveaux,8-12 min,1 ballon par joueur / répartir les joueurs en file indienne,"[""Le premier joueur n’a pas de ballon, il s’écarte comme sur un flare (tourner la tête pour voir le ballon)"", ""2 passe à 1 puis effectue le même mouvement à l’opposé""]","[""Les arrêts, les départs, les finitions""]","[""schemas/exo_018_p14_fontaine-flare.png""]"
cahier-t1-019,14,Fontaine écran non porteur à 2,Échauffement,Échauffement Fontaine,Confirmé,8-12 min,Ballons dans la colonnes du milieu (sauf le premier / répartir les joueurs en 3 colonnes,"[""3 va poser écran pour 2 puis prend sa place"", ""2 profite de l’écran, reçoit le ballon de 4 pour tirer"", ""4 va poser écran pour 1 puis reprend sa place"", ""1 profite de l’écran, reçoit le ballon de 5 pour tirer""]","[""Les finitions, les lectures (cure, flair…)""]","[""schemas/exo_019_p14_fontaine-ecran-non-porteur-a-2.png""]"
cahier-t1-020,15,Fontaine Milieu à 2 ext,Échauffement,Échauffement Fontaine,Tous niveaux,8-12 min,1 ballon par joueur / répartir les joueurs en file indienne + 1 joueur sur les deux spots 45°,"[""1 se démarque, 2 passe à 1 qui attrape et attaque le milieu"", ""2 va prendre la place de 1, 5 descend corner pour recevoir de 1"", ""1 après sa passe se replace pour recevoir de 5 et tirer"", ""5 après sa passe se démarque et reproduit le même mouvement""]","[""Fontaine Fond à 2 extérieur""]","[""schemas/exo_020_p15_fontaine-milieu-a-2-ext.png""]"
cahier-t1-021,15,Fontaine fond à 2 ext,Échauffement,Échauffement Fontaine,Tous niveaux,8-12 min,1 ballon par joueur / répartir les joueurs en file indienne + 1 joueur sur les deux spots 45°,"[""1 se démarque, 2 passe à 1 qui attrape et attaque la ligne de fond"", ""2 va prendre la place de 1, 5 descend corner pour recevoir de 1 et tirer"", ""1 prend le rebond et se place dans la file"", ""5 après son tir, se démarque et reproduit le même mouvement""]","[""Fontaine Milieu à 2 extérieur""]","[""schemas/exo_021_p15_fontaine-fond-a-2-ext.png""]"
cahier-t1-022,16,Fontaine Milieu à 1 ext & 1 int,Échauffement,Échauffement Fontaine,Tous niveaux,8-12 min,"1 ballon par joueur / répartir les joueurs en file indienne + 1 joueur sur le spot 45°, et un dernier petit corner","[""1 se démarque, 2 passe à 1 qui attrape et attaque le milieu, pour passer à 5 qui aura couper ligne de fond"", ""2 va prendre le spot 45° opposé, 1 prend le petit corner du côté où il a attaqué"", ""3 passe à 2 qui attrape et attaque le milieu, pour passer à 1 qui aura couper ligne de fond""]","[""Fontaine fond à 1 ext & 1 int""]","[""schemas/exo_022_p16_fontaine-milieu-a-1-ext-1-int.png""]"
cahier-t1-023,16,Fontaine fond à 1 ext & 1 int,Échauffement,Échauffement Fontaine,Tous niveaux,8-12 min,"1 ballon par joueur / répartir les joueurs en file indienne + 1 joueur sur le spot 45°, et un dernier petit corner","[""1 se démarque, 2 passe à 1 qui attrape et attaque la ligne de fond pour passer à 5 qui aura couper coeur raquette"", ""2 va prendre le spot 45° opposé, 1 prend le petit corner du côté où il a attaqué"", ""3 passe à 2 qui attrape et attaque le milieu pour passer à 1 qui aura coupé coeur raquette""]","[""Fontaine milieu à 1 ext & 1 int""]","[""schemas/exo_023_p16_fontaine-fond-a-1-ext-1-int.png""]"
